Fruta,Espacio,Imagen_ID,Area,Tiempo_ms,FPS,CPU_%
Amarillo,YCbCr,6,289411,0.976999999693362,1023.5414537501092,29.4
Amarillo,LAB,6,242766,0.9940999989339616,1005.9350176766576,41.6
Rojo,RGB,7,268389,1.4321000016934704,698.275259281818,38.8
Rojo,HSV,7,4984,1.9691999987117015,507.82043502652056,34.1
Rojo,YCbCr,7,289430,0.988899999356363,1011.2245936402686,32.7
Rojo,LAB,7,248883,1.2691000010818243,787.959970961757,28.5
Verde,RGB,7,30342,1.7127999999502208,583.839327434063,23.8
Verde,HSV,7,256924,0.7985000011103693,1252.348151044998,29.1
Verde,YCbCr,7,17945,1.0225999976682942,977.899474164066,31.4
Verde,LAB,7,28185,1.3035000010859221,767.165323488238,28.1
Naranja,RGB,7,215831,0.8168999993358739,1224.1400426159669,27.1
Naranja,HSV,7,33110,1.2944999980391003,772.4990355463832,26.1
Naranja,YCbCr,7,19742,1.1010999987774994,908.1827273728579,33.7
Naranja,LAB,7,241702,0.8878000007825904,1126.3798142808132,29.6
Amarillo,RGB,7,268389,1.1360999997123145,880.2042075989983,31.9
Amarillo,HSV,7,4984,1.5438999980688095,647.7103447443825,28.2
Amarillo,YCbCr,7,289430,3.0406000005314127,328.8824573522422,62.2
Amarillo,LAB,7,248883,2.1556000028795097,463.90796004090396,87.6
Rojo,RGB,8,253732,1.1986999998043757,834.2370903171745,34.8
Rojo,HSV,8,7146,1.4394999998330604,694.6856548217927,44.7
Rojo,YCbCr,8,289030,1.1682000003929716,856.0178048823911,47.7
Rojo,LAB,8,221031,1.3182000002416316,758.6102259267909,48.5
Verde,RGB,8,31212,1.022799999191193,977.7082526307952,33.3
Verde,HSV,8,251469,0.9260000006179325,1079.913606190806,26.0
Verde,YCbCr,8,21871,1.0194999995292164,980.8729774024315,27.3
Verde,LAB,8,39724,1.2978000013390556,770.5347503222462,34.8
Naranja,RGB,8,268691,1.0440999976708554,957.7626685478094,35.3
Naranja,HSV,8,33666,1.5382999990833923,650.0682575543506,25.8
Naranja,YCbCr,8,17677,1.3591999995696824,735.7268984083256,31.5
Naranja,LAB,8,272173,1.20489999972051,829.9443939181352,32.0
Amarillo,RGB,8,253732,1.5505999981542118,644.9116478720304,32.7
Amarillo,HSV,8,7146,1.2672999982896727,789.0791457031355,29.2
Amarillo,YCbCr,8,289030,1.3796999992337078,724.7952457457454,33.1
Amarillo,LAB,8,221031,1.1594999996304978,862.4407074762171,28.7
Rojo,RGB,9,272739,0.9770000033313408,1023.5414499388276,23.7
Rojo,HSV,9,10694,0.9422000002814457,1061.3457861401919,26.1
Rojo,YCbCr,9,289417,1.653999999689404,604.594921516194,27.8
Rojo,LAB,9,252929,0.831499997730134,1202.6458240888091,30.7
Verde,RGB,9,30304,0.8806999976513907,1135.4604322320347,25.0
Verde,HSV,9,245967,1.7379000018991064,575.407099894839,29.0
Verde,YCbCr,9,17942,2.169899998989422,460.8507306630378,23.1
Verde,LAB,9,25182,2.213599997048732,451.7528014696619,24.1
Naranja,RGB,9,236737,1.2022999981127214,831.7391679029556,45.3
Naranja,HSV,9,33354,1.5676000002713408,637.9178360722805,37.7
Naranja,YCbCr,9,19827,1.6216999974858481,616.636863507627,26.6
Naranja,LAB,9,245523,1.0813000008056406,924.8127247340547,27.7
Amarillo,RGB,9,272739,1.504900003055809,664.4959784500147,25.0
