Espacio,Imagen_ID,Area,Tiempo_ms,FPS,CPU_%
RGB,63,226983,0.6589000004169066,1517.6809824969932,0.0
RGB,64,230100,0.5399999990913784,1851.851854967838,0.0
RGB,65,229633,0.741300000299816,1348.9815184075999,0.0
RGB,66,248196,0.8094000004348345,1235.4830732181483,0.0
RGB,67,237625,0.681700001223362,1466.9209303292132,0.0
RGB,68,237368,0.634999998510466,1574.8031533003511,0.0
RGB,69,221432,0.6843999999546213,1461.1338399566107,0.0
RGB,70,251183,0.7031000004644739,1422.272790981925,0.0
RGB,71,212638,0.6671999999525724,1498.8009593391555,20.0
RGB,72,245382,0.73069999962172,1368.5507055121052,0.0
RGB,73,252559,0.5978999997751089,1672.5204890050761,0.0
RGB,74,229557,0.558600000658771,1790.1897580033562,0.0
RGB,75,232653,0.5638000002363697,1773.6786086923664,0.0
RGB,76,247866,0.5590000000665896,1788.9087654398522,0.0
RGB,77,227173,0.5311999993864447,1882.5301226563186,0.0
RGB,78,204808,0.6101999988459283,1638.8069516409385,0.0
RGB,79,237250,0.7381000013992889,1354.829966270426,0.0
RGB,80,232052,0.7948999991640449,1258.0198780370465,0.0
RGB,81,214392,0.8453999998891959,1182.8720134032021,0.0
RGB,82,227635,0.7248000001709443,1379.6909489019727,0.0
RGB,83,237717,0.6717999985994538,1488.5382585364193,0.0
RGB,84,240152,0.5798000001959736,1724.7326658537393,0.0
RGB,85,231093,0.692400000843918,1444.2518757671432,0.0
RGB,86,252001,0.7004999988566851,1427.5517510808581,0.0
RGB,87,234540,0.5736999992222991,1743.0712939787138,0.0
RGB,88,234676,0.5773000011686236,1732.2016247630493,0.0
RGB,89,246190,0.5810999991808785,1720.8742065214335,0.0
RGB,90,234093,0.7157000000006519,1397.2334777128533,25.0
RGB,91,224084,0.5352000007405877,1868.4603860542622,0.0
RGB,92,230079,0.6270999983826187,1594.6420069831674,0.0
RGB,93,247536,0.9857999993982958,1014.4045451515232,0.0
RGB,94,236035,0.5406000000220956,1849.7965223069323,0.0
RGB,95,227860,0.5576000003202353,1793.4002859140783,0.0
RGB,96,243041,0.6508999995276099,1536.3343074600539,0.0
RGB,97,228869,0.5493000007845694,1820.4988140755368,0.0
RGB,98,230302,0.5161999997653766,1937.2336312563355,0.0
